10	@JetBlue http://t.co/iNNP0Kkyby	positive
19	@SouthwestAir Conf#Â FVF9YW  SWRR#Â 298033455	negative
21	@AmericanAir I donâ€™t accept the change it wonâ€™t let me connect to an agent. Just wow.	negative
24	@JetBlue there ðŸ˜¢ðŸ˜¢ðŸ˜¢	neutral
27	@united Airlines http://t.co/4ojE523PTw	neutral
59	@AmericanAir IAH ðŸ˜	negative
77	@JetBlue w/our #brandmance https://t.co/Bzwgp7aDVE #wemosaictogether #Mint #Love	positive
78	@USAirways delayed. blue skies all over. #whyisusairALWAYSDELAYED???	negative
79	ðŸ˜’ "@JetBlue: fleet' http://t.co/K66SRFnw77â€ðŸ™ðŸ™âœŒï¸ðŸ˜‰)	positive
193	@AmericanAir @NATCA members have the best view. #avgeek http://t.co/VAhdekVOKe	positive
